subject,balanced_accuracy,n_epochs
1,0.5611111111111111,180
2,0.5883620689655172,167
3,0.5885306553911205,174
4,0.7333333333333334,180
5,0.7144194756554307,179
6,0.6191813804173355,173
7,0.5421348314606742,177
8,0.6111111111111112,180
10,0.6039964249233912,177
11,0.5980649188514358,179
12,0.6,180
14,0.6313358302122347,179
15,0.625,176
16,0.5722222222222222,180
18,0.6888888888888889,180
19,0.6035580524344569,179
20,0.4833333333333333,180
21,0.6508097165991903,128
23,0.6017636684303351,151
25,0.6555555555555556,180
26,0.7444444444444445,180
27,0.5933257918552036,137
28,0.6189410311824637,161
29,0.6362784471218206,173
30,0.5555555555555556,180
31,0.5944444444444444,180
32,0.5221684053651267,105
33,0.6116573033707865,177
34,0.5777777777777777,180
35,0.5304878048780488,172
36,0.5493206166710217,175
37,0.7533333333333334,150
38,0.7303370786516854,178
39,0.6082211197732106,168
40,0.5444347319347319,166
41,0.6888888888888889,180
42,0.5777777777777778,180
43,0.733132530120482,153
44,0.617872340425532,97
45,0.5833902939166097,153
46,0.6125626099905239,172
47,0.6258169934640523,175
49,0.753968253968254,126
50,0.530028129395218,169
51,0.6611111111111111,180
52,0.6994047619047619,135
53,0.5708245243128964,174
54,0.5660377358490566,106
55,0.7055555555555555,180
56,0.6054384017758047,104
57,0.7646670190274841,174
58,0.5133838383838384,178
59,0.6650401069518717,173
60,0.6845388281469021,169
61,0.6602372034956304,179
62,0.6003210272873194,173
63,0.5367032392894462,175
64,0.6499999999999999,180
65,0.6230614973262032,173
66,0.594534609515883,170
67,0.5388888888888889,180
68,0.6117211440245148,177
69,0.5722222222222222,180
70,0.5277777777777778,180
71,0.6277777777777778,180
72,0.6333333333333333,180
73,0.5368563685636857,172
74,0.6277777777777778,180
75,0.6403850313649145,136
76,0.6637215528781794,173
77,0.784072249589491,150
78,0.6107954545454546,168
79,0.6636828644501278,137
80,0.6430232558139535,171
81,0.8833333333333333,180
82,0.6222222222222222,180
83,0.73187414500684,171
84,0.6071935942141289,176
85,0.58607544141252,173
86,0.5839080459770115,157
87,0.667478354978355,172
88,0.4698329207920792,197
89,0.702061855670103,187
90,0.5852272727272727,176
91,0.6691672918229558,148
92,0.5101547388781431,171
93,0.5525316455696202,169
94,0.7660054719562244,171
95,0.60625,124
96,0.6853885135135135,138
97,0.6346796234436685,163
98,0.55,180
99,0.4878787878787879,73
100,0.6309523809523809,130
101,0.5888888888888889,180
102,0.5944444444444444,180
103,0.5421686746987951,166
104,0.591372852899393,176
105,0.6260869565217391,159
106,0.4515151515151515,163
107,0.451379974326059,158
108,0.7003996003996005,142
