band,channel,n,mean,std,participant_effect_p2.5,participant_effect_p97.5,mean_bootstrap_ci_low,mean_bootstrap_ci_high,p_uncorrected,fdr_family,p_fdr,reject_fdr
beta,C1,102,-1.0392607271149996,0.8739120213607816,-2.932595364092792,0.2707292106782983,-1.210568647254018,-0.8766355636116571,1.45269065685183e-16,channel_level_exploratory,7.84289158792435e-16,True
beta,C2,102,-1.0717620428058512,0.91434586344472,-3.343147495699501,0.2865848070486314,-1.25299302802811,-0.9098057639535844,4.4445042090420835e-17,channel_level_exploratory,3.585875548761319e-16,True
beta,C3,102,-1.0697534809334923,0.9126037786130592,-3.248661068117499,0.3373967400012125,-1.2478774171128617,-0.893863311290832,5.1226793553733127e-17,channel_level_exploratory,3.585875548761319e-16,True
beta,C4,102,-1.2628846316439752,0.9453793839289342,-3.453301953785693,0.2069356675790236,-1.449826676968055,-1.0769275553293494,2.3715908724562678e-17,channel_level_exploratory,2.490170416079081e-16,True
beta,C5,102,-0.5515061185944219,0.7406718238890742,-2.3781036896111103,0.507101947291523,-0.7004252735569059,-0.4162301313814903,2.1607949313142245e-11,channel_level_exploratory,3.4905148890460546e-11,True
beta,C6,102,-0.7978229720162265,0.6921120421622733,-2.211465647167272,0.3668906490554668,-0.9281209331375444,-0.6583857846541714,9.485848194709205e-16,channel_level_exploratory,2.8457544584127615e-15,True
beta,CP1,102,-1.032483043407114,0.9376761817050372,-3.574091080724255,0.3055270120794046,-1.213359890531972,-0.8613322597765236,3.5351341311277244e-16,channel_level_exploratory,1.3497784864305857e-15,True
beta,CP2,102,-1.0628345195014228,0.9188102669778258,-3.236652088608253,0.489602773644599,-1.2416018737809311,-0.8856877007664075,1.8163083971688648e-16,channel_level_exploratory,8.476105853454704e-16,True
beta,CP3,102,-1.2531152058830757,1.0906798937140043,-4.572608713184395,0.1859644297559445,-1.4712946368303708,-1.0549008622803069,1.4129716767521886e-17,channel_level_exploratory,2.490170416079081e-16,True
beta,CP4,102,-1.3272457010160972,1.0102233985968512,-4.1378002596245,0.1238874884370269,-1.52604490361533,-1.1434046935140438,1.4543497559304495e-17,channel_level_exploratory,2.490170416079081e-16,True
beta,CP5,102,-0.8742310584642363,0.919541724790218,-3.429338970863268,0.3749979056055523,-1.0575777174021883,-0.7070466482546701,6.473004246876115e-16,channel_level_exploratory,2.091278295144591e-15,True
beta,CP6,102,-1.0823360071384638,0.8075582120593863,-3.2491623449729867,0.0054656053350318,-1.2471644505221096,-0.9277770510576112,1.8313869139698845e-17,channel_level_exploratory,2.490170416079081e-16,True
beta,CPz,102,-0.9962746644120102,0.918213222132822,-3.146183200063307,0.465862151328728,-1.1824098868708588,-0.8282921814911265,1.1473889171710177e-15,channel_level_exploratory,3.011895907573921e-15,True
beta,Cz,102,-1.076568293491066,0.953165406024716,-3.4815830663612566,0.2820039476274639,-1.2578873024530288,-0.9001314721565684,1.4938841119855906e-16,channel_level_exploratory,7.84289158792435e-16,True
beta,FC1,102,-0.8290482370969572,0.7828870816484287,-2.729623628222013,0.350966848721833,-0.9794572238208316,-0.6746831677565452,1.0867374956418997e-15,channel_level_exploratory,3.011895907573921e-15,True
beta,FC2,102,-0.9034454047523136,0.7889150397616231,-2.7480094134226287,0.3021245954466748,-1.0545049700959734,-0.7516363576894683,5.491481091043264e-16,channel_level_exploratory,1.922018381865143e-15,True
beta,FC3,102,-0.6119607777520955,0.6727602884640878,-2.2985150045362355,0.3625741524319179,-0.7455659843716109,-0.4831664062496682,1.4062091201498558e-13,channel_level_exploratory,2.953039152314697e-13,True
beta,FC4,102,-0.7652032468957929,0.7958376679396628,-2.643854304395734,0.5537040197125752,-0.9241340728651364,-0.6091801884842839,1.8192756936862585e-14,channel_level_exploratory,4.4946811255778146e-14,True
beta,FC5,102,-0.2471141493885545,0.5669316422203868,-1.47279254330422,0.7610821615286798,-0.3549080291457413,-0.1344538477492015,1.551291958741799e-05,channel_level_exploratory,1.551291958741799e-05,True
beta,FC6,102,-0.4236961093241858,0.6310864292386463,-1.7471996405399182,0.7215582819509279,-0.5452356178668305,-0.3051663918908365,3.9985652365102515e-10,channel_level_exploratory,4.901976081266078e-10,True
beta,FCz,102,-0.9214034417531533,0.8165122032860626,-2.76372942718649,0.334916187928409,-1.0811543583933796,-0.7615544135049827,2.2693449486278263e-16,channel_level_exploratory,9.53124878423687e-16,True
mu,C1,102,-0.7670467479418778,0.8747133321539338,-2.6106322193916744,0.7688835487211076,-0.9410552300309328,-0.6026080160262816,3.129272069340844e-12,channel_level_exploratory,5.9740648596507005e-12,True
mu,C2,102,-0.8013653395078874,0.942888193824604,-2.713435359678519,0.9638435538600894,-0.9859748993914856,-0.6271704945402842,9.216487128173319e-12,channel_level_exploratory,1.6128852474303308e-11,True
mu,C3,102,-1.066940218596159,1.0853249385334591,-3.357150403811883,0.983731231077607,-1.280004787397612,-0.8550915033868307,1.240032873082e-13,channel_level_exploratory,2.741125298391789e-13,True
mu,C4,102,-1.1595990964556526,1.1443837137527524,-3.6661956468112136,0.7731168610080985,-1.3980216899323852,-0.938779343029438,3.3848877429200276e-14,channel_level_exploratory,7.89807140014673e-14,True
mu,C5,102,-0.588964107648488,1.049851067935819,-2.3813142823529394,1.7664789364140467,-0.7799908029767031,-0.3869028023783271,3.793394725427516e-07,channel_level_exploratory,3.983064461698892e-07,True
mu,C6,102,-0.8314358842169578,1.031395656179579,-2.7663073943229586,0.9979335671768051,-1.0443841096416024,-0.6300153763245452,6.526537169915704e-11,channel_level_exploratory,9.343071225639159e-11,True
mu,CP1,102,-0.8192440443548066,1.1129965688495242,-3.2174329828460477,1.1482851436840478,-1.0417538917066298,-0.603550144418673,5.742733001682875e-10,channel_level_exploratory,6.69985516863002e-10,True
mu,CP2,102,-0.899704820124171,1.1976674670238248,-3.6309146637554073,1.143018491991874,-1.1158681049233603,-0.6572760516286597,6.673622304027972e-11,channel_level_exploratory,9.343071225639159e-11,True
mu,CP3,102,-0.9760995254210574,1.2986228145152872,-3.82842991685094,1.1264772227195468,-1.242160384128808,-0.7244270739609797,2.775379166850813e-10,channel_level_exploratory,3.5323007578101256e-10,True
mu,CP4,102,-1.2308297149309375,1.292628759693505,-3.6979252788409087,1.1595765784649903,-1.4870212017397295,-0.981213414505423,3.202848358827649e-13,channel_level_exploratory,6.405696717655298e-13,True
mu,CP5,102,-0.7623925356843028,1.1963723940184663,-3.0615662627243707,1.2364319157694463,-0.9943403549079468,-0.5373291091601897,2.4083548810791813e-08,channel_level_exploratory,2.5936129488545026e-08,True
mu,CP6,102,-1.0685279438215396,1.2604576240022662,-3.2146389876427297,1.2020936056252771,-1.2974431683279537,-0.8283332555943906,4.4608524231689686e-11,channel_level_exploratory,6.939103769373953e-11,True
mu,CPz,102,-0.7351225154336907,1.220057453463416,-3.1865061507872507,1.490544544943892,-0.9702976441295124,-0.498482107101626,1.4287932351139988e-08,channel_level_exploratory,1.5791925230207355e-08,True
mu,Cz,102,-0.6757401639456421,0.8732371649528705,-2.481865563703161,1.1493163411318534,-0.8457364760165956,-0.5110732197878728,5.1039110517615735e-11,channel_level_exploratory,7.655866577642361e-11,True
mu,FC1,102,-0.7192477991019266,0.9564989821741596,-2.773086684742796,1.0313943904746996,-0.8961726086576106,-0.537360941508038,4.0849800677217314e-10,channel_level_exploratory,4.901976081266078e-10,True
mu,FC2,102,-0.7270826878162185,0.8650746478892003,-2.367801263539943,0.9505054567235558,-0.9048128678209548,-0.555426746313993,8.59561114768437e-12,channel_level_exploratory,1.5696333400119283e-11,True
