subject,balanced_accuracy,rank
81,0.8833333333333333,1
77,0.784072249589491,2
94,0.7660054719562244,3
57,0.7646670190274841,4
49,0.753968253968254,5
37,0.7533333333333334,6
26,0.7444444444444445,7
4,0.7333333333333334,8
43,0.733132530120482,9
83,0.73187414500684,10
38,0.7303370786516854,11
5,0.7144194756554307,12
55,0.7055555555555555,13
89,0.702061855670103,14
108,0.7003996003996005,15
52,0.6994047619047619,16
41,0.6888888888888889,17
18,0.6888888888888889,18
96,0.6853885135135135,19
60,0.6845388281469021,20
91,0.6691672918229558,21
87,0.667478354978355,22
59,0.6650401069518717,23
76,0.6637215528781794,24
79,0.6636828644501278,25
51,0.6611111111111111,26
61,0.6602372034956304,27
25,0.6555555555555556,28
21,0.6508097165991903,29
64,0.6499999999999999,30
80,0.6430232558139535,31
75,0.6403850313649145,32
29,0.6362784471218206,33
97,0.6346796234436685,34
72,0.6333333333333333,35
14,0.6313358302122347,36
100,0.6309523809523809,37
71,0.6277777777777778,38
74,0.6277777777777778,39
105,0.6260869565217391,40
47,0.6258169934640523,41
15,0.625,42
65,0.6230614973262032,43
82,0.6222222222222222,44
6,0.6191813804173355,45
28,0.6189410311824637,46
44,0.617872340425532,47
46,0.6125626099905239,48
68,0.6117211440245148,49
33,0.6116573033707865,50
8,0.6111111111111112,51
78,0.6107954545454546,52
39,0.6082211197732106,53
84,0.6071935942141289,54
95,0.60625,55
56,0.6054384017758047,56
10,0.6039964249233912,57
19,0.6035580524344569,58
23,0.6017636684303351,59
62,0.6003210272873194,60
12,0.6,61
11,0.5980649188514358,62
66,0.594534609515883,63
102,0.5944444444444444,64
31,0.5944444444444444,65
27,0.5933257918552036,66
104,0.591372852899393,67
101,0.5888888888888889,68
3,0.5885306553911205,69
2,0.5883620689655172,70
85,0.58607544141252,71
90,0.5852272727272727,72
86,0.5839080459770115,73
45,0.5833902939166097,74
42,0.5777777777777778,75
34,0.5777777777777777,76
16,0.5722222222222222,77
69,0.5722222222222222,78
53,0.5708245243128964,79
54,0.5660377358490566,80
1,0.5611111111111111,81
30,0.5555555555555556,82
93,0.5525316455696202,83
98,0.55,84
36,0.5493206166710217,85
40,0.5444347319347319,86
103,0.5421686746987951,87
7,0.5421348314606742,88
67,0.5388888888888889,89
73,0.5368563685636857,90
63,0.5367032392894462,91
35,0.5304878048780488,92
50,0.530028129395218,93
70,0.5277777777777778,94
32,0.5221684053651267,95
58,0.5133838383838384,96
92,0.5101547388781431,97
99,0.4878787878787879,98
20,0.4833333333333333,99
88,0.4698329207920792,100
106,0.4515151515151515,101
107,0.451379974326059,102
