run,condition,task_family,repetition,n_epochs,precue_mu_mean,precue_beta_mean,ptp_mean,precue_beta_uv2,precue_mu_uv2
3,execution,unilateral,1,1427,3.514298599113181e-11,4.9100538079308537e-11,83.72022929468233,49.100538079308535,35.14298599113181
4,imagery,unilateral,1,1447,3.849494020096611e-11,4.547245580178131e-11,85.38338444595213,45.47245580178131,38.49494020096611
5,execution,bilateral,1,1416,3.714242548527821e-11,5.1961709051770635e-11,85.14241753001073,51.96170905177063,37.14242548527821
6,imagery,bilateral,1,1427,4.0498940437907146e-11,4.946168888326014e-11,87.711323942463,49.46168888326014,40.498940437907144
7,execution,unilateral,2,1435,4.2881882058528895e-11,5.456548289652247e-11,88.45664744541877,54.56548289652247,42.881882058528895
8,imagery,unilateral,2,1389,4.1187951141790746e-11,4.88957697414293e-11,89.56309300443736,48.8957697414293,41.18795114179075
9,execution,bilateral,2,1403,4.267187139225681e-11,5.446942932020884e-11,91.20356589186412,54.46942932020884,42.67187139225681
10,imagery,bilateral,2,1421,4.341961839439972e-11,5.182923647942383e-11,91.81270179520746,51.82923647942383,43.41961839439972
11,execution,unilateral,3,1388,4.154476622262505e-11,5.0259022357069656e-11,86.65329297261003,50.259022357069654,41.54476622262505
12,imagery,unilateral,3,1397,4.411232880097755e-11,4.9872278531657015e-11,90.99235942628826,49.87227853165702,44.11232880097755
13,execution,bilateral,3,1369,4.473849152183413e-11,5.10172808311198e-11,90.20810942672222,51.0172808311198,44.73849152183413
14,imagery,bilateral,3,1394,4.516027841934255e-11,4.720274167586848e-11,90.90428946687504,47.20274167586848,45.160278419342546
