band,channel,mean,p_fdr,reject_fdr
beta,C1,-1.0392607271149996,7.84289158792435e-16,True
beta,C2,-1.0717620428058512,3.585875548761319e-16,True
beta,C3,-1.0697534809334923,3.585875548761319e-16,True
beta,C4,-1.2628846316439752,2.490170416079081e-16,True
beta,C5,-0.5515061185944219,3.4905148890460546e-11,True
beta,C6,-0.7978229720162265,2.8457544584127615e-15,True
beta,CP1,-1.032483043407114,1.3497784864305857e-15,True
beta,CP2,-1.0628345195014228,8.476105853454704e-16,True
beta,CP3,-1.2531152058830757,2.490170416079081e-16,True
beta,CP4,-1.3272457010160972,2.490170416079081e-16,True
beta,CP5,-0.8742310584642363,2.091278295144591e-15,True
beta,CP6,-1.0823360071384638,2.490170416079081e-16,True
beta,CPz,-0.9962746644120102,3.011895907573921e-15,True
beta,Cz,-1.076568293491066,7.84289158792435e-16,True
beta,FC1,-0.8290482370969572,3.011895907573921e-15,True
beta,FC2,-0.9034454047523136,1.922018381865143e-15,True
beta,FC3,-0.6119607777520955,2.953039152314697e-13,True
beta,FC4,-0.7652032468957929,4.4946811255778146e-14,True
beta,FC5,-0.2471141493885545,1.551291958741799e-05,True
beta,FC6,-0.4236961093241858,4.901976081266078e-10,True
beta,FCz,-0.9214034417531533,9.53124878423687e-16,True
mu,C1,-0.7670467479418778,5.9740648596507005e-12,True
mu,C2,-0.8013653395078874,1.6128852474303308e-11,True
mu,C3,-1.066940218596159,2.741125298391789e-13,True
mu,C4,-1.1595990964556526,7.89807140014673e-14,True
mu,C5,-0.588964107648488,3.983064461698892e-07,True
mu,C6,-0.8314358842169578,9.343071225639159e-11,True
mu,CP1,-0.8192440443548066,6.69985516863002e-10,True
mu,CP2,-0.899704820124171,9.343071225639159e-11,True
mu,CP3,-0.9760995254210574,3.5323007578101256e-10,True
mu,CP4,-1.2308297149309375,6.405696717655298e-13,True
mu,CP5,-0.7623925356843028,2.5936129488545026e-08,True
mu,CP6,-1.0685279438215396,6.939103769373953e-11,True
mu,CPz,-0.7351225154336907,1.5791925230207355e-08,True
mu,Cz,-0.6757401639456421,7.655866577642361e-11,True
mu,FC1,-0.7192477991019266,4.901976081266078e-10,True
mu,FC2,-0.7270826878162185,1.5696333400119283e-11,True
mu,FC3,-0.7382775900626954,1.8566115820483318e-10,True
mu,FC4,-0.7554901122111254,1.8213025938784915e-11,True
mu,FC5,-0.4636494150204825,3.6552750352215594e-06,True
mu,FC6,-0.5463082601346192,1.895003691999522e-09,True
mu,FCz,-0.710978611807815,9.453499787396847e-11,True
