subject,balanced_accuracy,mean_abs_erd,n_epochs,rank
1,0.5611111111111111,2.3673112552970914,180.0,81.0
2,0.5883620689655172,3.042317557122136,167.0,70.0
3,0.5885306553911205,2.4662278689756154,174.0,69.0
4,0.7333333333333334,2.930989959522151,180.0,8.0
5,0.7144194756554307,2.521332130055764,179.0,12.0
6,0.6191813804173355,2.635910178397056,173.0,45.0
7,0.5421348314606742,2.646404935931913,177.0,88.0
8,0.6111111111111112,2.5663621646191066,180.0,51.0
10,0.6039964249233912,2.6256547373854686,177.0,57.0
11,0.5980649188514358,2.413632741919854,179.0,62.0
12,0.6,2.388873601431124,180.0,61.0
14,0.6313358302122347,2.56456859679827,179.0,36.0
15,0.625,2.6993525620568737,176.0,42.0
16,0.5722222222222222,2.6417091613718147,180.0,77.5
18,0.6888888888888889,2.4944306567874825,180.0,17.5
19,0.6035580524344569,2.837209642108469,179.0,58.0
20,0.4833333333333333,2.381302782028225,180.0,99.0
21,0.6508097165991903,2.43956704768149,128.0,29.0
23,0.6017636684303351,3.4155394558022576,151.0,59.0
25,0.6555555555555556,3.131172943403421,180.0,28.0
26,0.7444444444444445,2.483141392286456,180.0,7.0
27,0.5933257918552036,3.2813779559707905,137.0,66.0
28,0.6189410311824637,2.987636802357252,161.0,46.0
29,0.6362784471218206,3.612191488191296,173.0,33.0
30,0.5555555555555556,2.673392151391748,180.0,82.0
31,0.5944444444444444,2.668476497475617,180.0,64.5
32,0.5221684053651267,3.2252404025312438,105.0,95.0
33,0.6116573033707865,3.1153785196558763,177.0,50.0
34,0.5777777777777777,3.308452876795788,180.0,76.0
35,0.5304878048780488,3.1214812451547007,172.0,92.0
36,0.5493206166710217,2.7030581858077314,175.0,85.0
37,0.7533333333333334,2.661487172889273,150.0,6.0
38,0.7303370786516854,2.408397192406953,178.0,11.0
39,0.6082211197732106,2.76171345991247,168.0,53.0
40,0.5444347319347319,2.0811107461593528,166.0,86.0
41,0.6888888888888889,2.829073038253192,180.0,17.5
42,0.5777777777777778,3.1719498899356724,180.0,75.0
43,0.733132530120482,2.724061656809777,153.0,9.0
44,0.617872340425532,3.335706245869384,97.0,47.0
45,0.5833902939166097,2.9937730146999044,153.0,74.0
46,0.6125626099905239,2.2362456184566843,172.0,48.0
47,0.6258169934640523,2.6054230870743003,175.0,41.0
49,0.753968253968254,2.730495976007048,126.0,5.0
50,0.530028129395218,2.200870098657535,169.0,93.0
51,0.6611111111111111,2.4263573075294933,180.0,26.0
52,0.6994047619047619,3.141952908665945,135.0,16.0
53,0.5708245243128964,2.2573360079552063,174.0,79.0
54,0.5660377358490566,3.142296199749352,106.0,80.0
55,0.7055555555555555,2.758344988752004,180.0,13.0
56,0.6054384017758047,2.6480929312655457,104.0,56.0
57,0.7646670190274841,2.7767094918629085,174.0,4.0
58,0.5133838383838384,2.2290970647545123,178.0,96.0
59,0.6650401069518717,2.83130029251015,173.0,23.0
60,0.6845388281469021,2.784909858387364,169.0,20.0
61,0.6602372034956304,2.5741632502819547,179.0,27.0
62,0.6003210272873194,2.837098381477956,173.0,60.0
63,0.5367032392894462,2.3707795923197543,175.0,91.0
64,0.6499999999999999,2.9325800130560435,180.0,30.0
65,0.6230614973262032,2.2305345096404787,173.0,43.0
66,0.594534609515883,4.519492848471214,170.0,63.0
67,0.5388888888888889,2.7425107893099163,180.0,89.0
68,0.6117211440245148,2.580626503747711,177.0,49.0
69,0.5722222222222222,2.8081342925998944,180.0,77.5
70,0.5277777777777778,2.544710826637282,180.0,94.0
71,0.6277777777777778,2.5108140930941816,180.0,38.5
72,0.6333333333333333,3.492390507158289,180.0,35.0
73,0.5368563685636857,2.5824454663795464,172.0,90.0
74,0.6277777777777778,3.1951604651958414,180.0,38.5
75,0.6403850313649145,2.572707560626516,136.0,32.0
76,0.6637215528781794,2.9400870194946584,173.0,24.0
77,0.784072249589491,2.7367929946964726,150.0,2.0
78,0.6107954545454546,2.7466264499495563,168.0,52.0
79,0.6636828644501278,2.4592224532024454,137.0,25.0
80,0.6430232558139535,2.2200335239612863,171.0,31.0
81,0.8833333333333333,2.657371328158187,180.0,1.0
82,0.6222222222222222,3.0283596835801347,180.0,44.0
83,0.73187414500684,3.27029838940214,171.0,10.0
84,0.6071935942141289,2.87997058520372,176.0,54.0
85,0.58607544141252,2.888656398477828,173.0,71.0
86,0.5839080459770115,2.4770194861257875,157.0,73.0
87,0.667478354978355,2.8997817096388703,172.0,22.0
88,0.4698329207920792,2.236369160542296,197.0,100.0
89,0.702061855670103,2.558965932599424,187.0,14.0
90,0.5852272727272727,2.518635974583144,176.0,72.0
91,0.6691672918229558,2.6032525534922235,148.0,21.0
92,0.5101547388781431,2.5273948849341257,171.0,97.0
93,0.5525316455696202,2.822538404467306,169.0,83.0
94,0.7660054719562244,2.7591858396286275,171.0,3.0
95,0.60625,2.237898480401753,124.0,55.0
96,0.6853885135135135,2.5176368486936163,138.0,19.0
97,0.6346796234436685,2.582906728777443,163.0,34.0
98,0.55,3.933416222492221,180.0,84.0
99,0.4878787878787879,2.5495824475969444,73.0,98.0
100,0.6309523809523809,2.6576128360451223,130.0,37.0
101,0.5888888888888889,2.10259642823946,180.0,68.0
102,0.5944444444444444,2.581941798615795,180.0,64.5
103,0.5421686746987951,2.8183158792008984,166.0,87.0
104,0.591372852899393,2.619458345692075,176.0,67.0
105,0.6260869565217391,2.7426166816017545,159.0,40.0
106,0.4515151515151515,2.8835314263165244,163.0,101.0
107,0.451379974326059,2.939610876068281,158.0,102.0
108,0.7003996003996005,2.9291509051015576,142.0,15.0
