pair_id,condition,epochs_before,epochs_rejected,epochs_retained,rejection_proportion
03-04,ME,1603,122,1481,0.07610729881472239
03-04,MI,1638,142,1496,0.08669108669108669
05-06,ME,1617,181,1436,0.11193568336425479
05-06,MI,1621,154,1467,0.09500308451573103
07-08,ME,1627,166,1461,0.10202827289489859
07-08,MI,1590,183,1407,0.11509433962264151
09-10,ME,1638,222,1416,0.13553113553113552
09-10,MI,1620,164,1456,0.10123456790123457
11-12,ME,1633,227,1406,0.13900796080832822
11-12,MI,1614,199,1415,0.12329615861214374
13-14,ME,1613,227,1386,0.1407315561066336
13-14,MI,1626,196,1430,0.12054120541205413
