subject,condition,in_e01_primary_cohort,epochs_before,epochs_rejected,epochs_retained,rejection_proportion
1,ME,True,90,0,90,0.0
1,MI,True,90,0,90,0.0
2,ME,True,90,10,80,0.1111111111111111
2,MI,True,90,3,87,0.03333333333333333
3,ME,True,90,2,88,0.022222222222222223
3,MI,True,90,4,86,0.044444444444444446
4,ME,True,90,0,90,0.0
4,MI,True,90,0,90,0.0
5,ME,True,90,0,90,0.0
5,MI,True,90,1,89,0.011111111111111112
6,ME,True,90,6,84,0.06666666666666667
6,MI,True,90,1,89,0.011111111111111112
7,ME,True,90,1,89,0.011111111111111112
7,MI,True,90,2,88,0.022222222222222223
8,ME,True,90,0,90,0.0
8,MI,True,90,0,90,0.0
9,ME,False,90,62,28,0.6888888888888889
9,MI,False,90,72,18,0.8
10,ME,True,90,2,88,0.022222222222222223
10,MI,True,90,1,89,0.011111111111111112
11,ME,True,90,0,90,0.0
11,MI,True,90,1,89,0.011111111111111112
12,ME,True,90,0,90,0.0
12,MI,True,90,0,90,0.0
13,ME,False,90,74,16,0.8222222222222222
13,MI,False,90,59,31,0.6555555555555556
14,ME,True,90,1,89,0.011111111111111112
14,MI,True,90,0,90,0.0
15,ME,True,90,2,88,0.022222222222222223
15,MI,True,90,2,88,0.022222222222222223
16,ME,True,90,0,90,0.0
16,MI,True,90,0,90,0.0
17,ME,False,90,67,23,0.7444444444444445
17,MI,False,90,76,14,0.8444444444444444
18,ME,True,90,0,90,0.0
18,MI,True,90,0,90,0.0
19,ME,True,90,1,89,0.011111111111111112
19,MI,True,90,0,90,0.0
20,ME,True,90,0,90,0.0
20,MI,True,90,0,90,0.0
21,ME,True,90,14,76,0.15555555555555556
21,MI,True,86,34,52,0.3953488372093023
22,ME,False,90,62,28,0.6888888888888889
22,MI,False,90,5,85,0.05555555555555555
23,ME,True,90,20,70,0.2222222222222222
23,MI,True,90,9,81,0.1
24,ME,False,81,60,21,0.7407407407407407
24,MI,False,90,80,10,0.8888888888888888
25,ME,True,90,0,90,0.0
25,MI,True,90,0,90,0.0
26,ME,True,90,0,90,0.0
26,MI,True,90,0,90,0.0
27,ME,True,76,24,52,0.3157894736842105
27,MI,True,90,5,85,0.05555555555555555
28,ME,True,90,11,79,0.12222222222222222
28,MI,True,90,8,82,0.08888888888888889
29,ME,True,90,0,90,0.0
29,MI,True,83,0,83,0.0
30,ME,True,90,0,90,0.0
30,MI,True,90,0,90,0.0
31,ME,True,90,0,90,0.0
31,MI,True,90,0,90,0.0
32,ME,True,90,19,71,0.2111111111111111
32,MI,True,79,35,44,0.4430379746835443
33,ME,True,90,2,88,0.022222222222222223
33,MI,True,90,1,89,0.011111111111111112
34,ME,True,90,0,90,0.0
34,MI,True,90,0,90,0.0
35,ME,True,82,0,82,0.0
35,MI,True,90,0,90,0.0
36,ME,True,90,4,86,0.044444444444444446
36,MI,True,90,1,89,0.011111111111111112
37,ME,True,75,0,75,0.0
37,MI,True,90,0,90,0.0
38,ME,True,90,1,89,0.011111111111111112
38,MI,True,90,1,89,0.011111111111111112
39,ME,True,90,5,85,0.05555555555555555
39,MI,True,90,7,83,0.07777777777777778
40,ME,True,90,2,88,0.022222222222222223
40,MI,True,80,2,78,0.025
41,ME,True,90,0,90,0.0
41,MI,True,90,0,90,0.0
42,ME,True,90,0,90,0.0
42,MI,True,90,0,90,0.0
43,ME,True,84,14,70,0.16666666666666666
43,MI,True,90,7,83,0.07777777777777778
44,ME,True,90,43,47,0.4777777777777778
44,MI,True,90,40,50,0.4444444444444444
45,ME,True,90,14,76,0.15555555555555556
45,MI,True,90,13,77,0.14444444444444443
46,ME,True,90,7,83,0.07777777777777778
46,MI,True,90,1,89,0.011111111111111112
47,ME,True,90,0,90,0.0
47,MI,True,85,0,85,0.0
48,ME,False,90,68,22,0.7555555555555555
48,MI,False,90,69,21,0.7666666666666667
49,ME,True,90,27,63,0.3
49,MI,True,90,27,63,0.3
50,ME,True,90,0,90,0.0
50,MI,True,79,0,79,0.0
51,ME,True,90,0,90,0.0
51,MI,True,90,0,90,0.0
52,ME,True,90,27,63,0.3
52,MI,True,90,18,72,0.2
53,ME,True,90,2,88,0.022222222222222223
53,MI,True,90,4,86,0.044444444444444446
54,ME,True,90,37,53,0.4111111111111111
54,MI,True,88,35,53,0.3977272727272727
55,ME,True,90,0,90,0.0
55,MI,True,90,0,90,0.0
56,ME,True,90,39,51,0.43333333333333335
56,MI,True,90,37,53,0.4111111111111111
57,ME,True,86,0,86,0.0
57,MI,True,90,2,88,0.022222222222222223
