subject,ME,MI
1,90,90
2,80,87
3,88,86
4,90,90
5,90,89
6,84,89
7,89,88
8,90,90
10,88,89
11,90,89
12,90,90
14,89,90
15,88,88
16,90,90
18,90,90
19,89,90
20,90,90
21,76,52
23,70,81
25,90,90
26,90,90
27,52,85
28,79,82
29,90,83
30,90,90
31,90,90
32,71,44
33,88,89
34,90,90
35,82,90
36,86,89
37,75,90
38,89,89
39,85,83
40,88,78
41,90,90
42,90,90
43,70,83
44,47,50
45,76,77
46,83,89
47,90,85
49,63,63
50,90,79
51,90,90
52,63,72
53,88,86
54,53,53
55,90,90
56,51,53
57,86,88
58,90,88
59,88,85
60,82,87
61,90,89
62,89,84
63,87,88
64,90,90
65,85,88
66,89,81
67,90,90
68,88,89
69,90,90
70,90,90
71,90,90
72,90,90
73,90,82
74,90,90
75,69,67
76,83,90
77,63,87
78,88,80
79,68,69
80,85,86
81,90,90
82,90,90
83,85,86
84,87,89
85,89,84
86,70,87
87,84,88
88,101,96
89,97,90
90,88,88
91,62,86
92,94,77
93,79,90
94,86,85
95,64,60
96,74,64
97,89,74
98,90,90
99,40,35
100,70,60
101,90,90
102,90,90
103,83,83
104,89,87
105,69,90
106,75,88
107,76,82
108,77,65
