fold,role,subject
1,train,1
1,train,2
1,train,3
1,train,4
1,train,7
1,train,8
1,train,11
1,train,14
1,train,15
1,train,18
1,train,19
1,train,20
1,train,21
1,train,25
1,train,26
1,train,28
1,train,30
1,train,31
1,train,32
1,train,33
1,train,34
1,train,35
1,train,36
1,train,37
1,train,38
1,train,39
1,train,40
1,train,41
1,train,42
1,train,43
1,train,44
1,train,46
1,train,47
1,train,49
1,train,51
1,train,52
1,train,53
1,train,54
1,train,55
1,train,56
1,train,57
1,train,58
1,train,59
1,train,60
1,train,61
1,train,62
1,train,63
1,train,65
1,train,67
1,train,68
1,train,70
1,train,71
1,train,72
1,train,73
1,train,74
1,train,75
1,train,76
1,train,77
1,train,79
1,train,80
1,train,81
1,train,82
1,train,83
1,train,84
1,train,85
1,train,87
1,train,89
1,train,90
1,train,91
1,train,94
1,train,95
1,train,96
1,train,99
1,train,101
1,train,102
1,train,103
1,train,104
1,train,108
1,test,5
1,test,6
1,test,10
1,test,12
1,test,16
1,test,23
1,test,27
1,test,29
1,test,45
1,test,50
1,test,64
1,test,66
1,test,69
1,test,78
1,test,86
1,test,93
1,test,97
1,test,98
1,test,105
1,test,106
1,test,107
2,train,2
2,train,3
2,train,4
2,train,5
2,train,6
2,train,7
2,train,8
2,train,10
2,train,11
2,train,12
2,train,14
2,train,15
2,train,16
2,train,18
2,train,19
2,train,21
2,train,23
2,train,25
2,train,26
2,train,27
2,train,28
2,train,29
2,train,30
2,train,31
2,train,32
2,train,33
2,train,34
2,train,35
2,train,37
2,train,38
2,train,39
2,train,40
2,train,41
2,train,42
2,train,43
2,train,44
2,train,45
2,train,46
2,train,50
2,train,52
2,train,53
2,train,54
2,train,55
2,train,56
2,train,58
2,train,61
2,train,62
2,train,63
2,train,64
2,train,65
2,train,66
2,train,67
2,train,69
2,train,70
2,train,71
2,train,72
2,train,74
2,train,75
2,train,76
2,train,77
2,train,78
2,train,80
2,train,82
2,train,83
2,train,84
2,train,85
2,train,86
2,train,87
2,train,90
2,train,93
2,train,95
2,train,97
2,train,98
2,train,101
2,train,102
2,train,103
2,train,104
2,train,105
2,train,106
2,train,107
2,test,1
2,test,20
2,test,36
2,test,47
2,test,49
2,test,51
2,test,57
2,test,59
2,test,60
2,test,68
2,test,73
2,test,79
2,test,81
2,test,89
2,test,91
2,test,94
2,test,96
2,test,99
2,test,108
3,train,1
3,train,2
3,train,3
3,train,4
3,train,5
3,train,6
3,train,7
3,train,8
3,train,10
3,train,11
3,train,12
3,train,16
3,train,20
3,train,21
3,train,23
3,train,26
3,train,27
3,train,29
3,train,30
3,train,31
3,train,32
3,train,33
3,train,34
3,train,35
3,train,36
3,train,39
3,train,42
3,train,43
3,train,44
3,train,45
3,train,46
3,train,47
3,train,49
3,train,50
3,train,51
3,train,54
3,train,55
3,train,56
3,train,57
3,train,58
3,train,59
3,train,60
3,train,61
3,train,63
3,train,64
3,train,66
3,train,67
3,train,68
3,train,69
3,train,71
3,train,73
3,train,75
3,train,76
3,train,77
3,train,78
3,train,79
3,train,80
3,train,81
3,train,83
3,train,84
3,train,86
3,train,89
3,train,90
3,train,91
3,train,93
3,train,94
3,train,95
3,train,96
3,train,97
3,train,98
3,train,99
3,train,101
3,train,102
3,train,103
3,train,104
3,train,105
3,train,106
3,train,107
3,train,108
3,test,14
3,test,15
3,test,18
3,test,19
3,test,25
3,test,28
3,test,37
3,test,38
3,test,40
3,test,41
3,test,52
3,test,53
3,test,62
3,test,65
3,test,70
3,test,72
3,test,74
3,test,82
3,test,85
3,test,87
4,train,1
4,train,2
4,train,3
4,train,5
4,train,6
4,train,7
4,train,8
4,train,10
4,train,12
4,train,14
4,train,15
4,train,16
4,train,18
4,train,19
4,train,20
4,train,23
4,train,25
4,train,26
4,train,27
4,train,28
4,train,29
4,train,32
4,train,33
4,train,34
4,train,35
4,train,36
4,train,37
4,train,38
4,train,39
4,train,40
4,train,41
4,train,45
4,train,47
4,train,49
4,train,50
4,train,51
4,train,52
4,train,53
4,train,57
4,train,58
4,train,59
4,train,60
4,train,61
4,train,62
4,train,63
4,train,64
4,train,65
4,train,66
4,train,68
4,train,69
4,train,70
4,train,72
4,train,73
4,train,74
4,train,76
4,train,78
4,train,79
4,train,81
4,train,82
4,train,83
4,train,84
4,train,85
4,train,86
4,train,87
4,train,89
4,train,91
4,train,93
4,train,94
4,train,96
4,train,97
4,train,98
4,train,99
4,train,101
4,train,103
4,train,104
4,train,105
4,train,106
4,train,107
4,train,108
4,test,4
4,test,11
4,test,21
4,test,30
4,test,31
4,test,42
4,test,43
4,test,44
4,test,46
4,test,54
4,test,55
4,test,56
4,test,67
4,test,71
4,test,75
4,test,77
4,test,80
4,test,90
4,test,95
4,test,102
5,train,1
5,train,4
5,train,5
5,train,6
5,train,10
5,train,11
5,train,12
5,train,14
5,train,15
5,train,16
5,train,18
5,train,19
5,train,20
5,train,21
5,train,23
5,train,25
5,train,27
5,train,28
5,train,29
5,train,30
5,train,31
5,train,36
5,train,37
5,train,38
5,train,40
5,train,41
5,train,42
5,train,43
5,train,44
5,train,45
5,train,46
5,train,47
5,train,49
5,train,50
5,train,51
5,train,52
5,train,53
5,train,54
5,train,55
5,train,56
5,train,57
5,train,59
5,train,60
5,train,62
5,train,64
5,train,65
5,train,66
5,train,67
5,train,68
5,train,69
5,train,70
5,train,71
5,train,72
5,train,73
5,train,74
5,train,75
5,train,77
5,train,78
5,train,79
5,train,80
5,train,81
5,train,82
5,train,85
5,train,86
5,train,87
5,train,89
5,train,90
5,train,91
5,train,93
5,train,94
5,train,95
5,train,96
5,train,97
5,train,98
5,train,99
5,train,102
5,train,105
5,train,106
5,train,107
5,train,108
5,test,2
5,test,3
5,test,7
5,test,8
5,test,26
5,test,32
5,test,33
5,test,34
5,test,35
5,test,39
5,test,58
5,test,61
5,test,63
5,test,76
5,test,83
5,test,84
5,test,101
5,test,103
5,test,104
