subject,structural_ok,n_me_epochs,n_mi_epochs,n_usable_matched_pairs,n_unilateral_pairs,n_bilateral_pairs,movements_me,movements_mi,eligible_primary,eligible_min20,eligible_min40,eligible_strict,reason_codes,reason_detail,n_left_fist_me,n_left_fist_mi,n_right_fist_me,n_right_fist_mi,n_both_fists_me,n_both_fists_mi,n_both_feet_me,n_both_feet_mi,usable_pair_ids,e02_left_fist_n_me,e02_left_fist_n_mi,e02_left_fist_n_pairs,e02_left_fist_eligible,e02_left_fist_reasons,e02_right_fist_n_me,e02_right_fist_n_mi,e02_right_fist_n_pairs,e02_right_fist_eligible,e02_right_fist_reasons,e02_both_fists_n_me,e02_both_fists_n_mi,e02_both_fists_n_pairs,e02_both_fists_eligible,e02_both_fists_reasons,e02_both_feet_n_me,e02_both_feet_n_mi,e02_both_feet_n_pairs,e02_both_feet_eligible,e02_both_feet_reasons,e02_unilateral_n_me,e02_unilateral_n_mi,e02_unilateral_n_pairs,e02_unilateral_eligible,e02_unilateral_reasons,e02_bilateral_n_me,e02_bilateral_n_mi,e02_bilateral_n_pairs,e02_bilateral_eligible,e02_bilateral_reasons,strict_all_runs_valid,strict_reasons,expected_left_fist_me,frac_left_fist_me,expected_left_fist_mi,frac_left_fist_mi,expected_right_fist_me,frac_right_fist_me,expected_right_fist_mi,frac_right_fist_mi,expected_both_fists_me,frac_both_fists_me,expected_both_fists_mi,frac_both_fists_mi,expected_both_feet_me,frac_both_feet_me,expected_both_feet_mi,frac_both_feet_mi
1,True,90,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,23,22,22,23,21,22,23,03-04|05-06|07-08|09-10|11-12|13-14,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,44,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,24.0,0.9583333333333334
2,True,76,80,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,20,23,21,20,18,19,17,18,03-04|05-06|07-08|09-10|11-12|13-14,20,23,3,True,ELIGIBLE,21,20,3,True,ELIGIBLE,18,19,3,True,ELIGIBLE,17,18,3,True,ELIGIBLE,41,43,3,True,ELIGIBLE,35,37,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.8695652173913043,23.0,1.0,22.0,0.9545454545454546,22.0,0.9090909090909091,21.0,0.8571428571428571,24.0,0.7916666666666666,24.0,0.7083333333333334,21.0,0.8571428571428571
3,True,84,86,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,20,23,23,21,20,20,21,22,03-04|05-06|07-08|09-10|11-12|13-14,20,23,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,20,20,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,43,44,3,True,ELIGIBLE,41,42,3,True,ELIGIBLE,True,ELIGIBLE,22.0,0.9090909090909091,23.0,1.0,23.0,1.0,22.0,0.9545454545454546,22.0,0.9090909090909091,21.0,0.9523809523809523,23.0,0.9130434782608695,24.0,0.9166666666666666
4,True,89,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,23,23,22,21,21,23,23,03-04|05-06|07-08|09-10|11-12|13-14,22,23,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,21,21,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,44,44,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0,22.0,0.9545454545454546,22.0,0.9545454545454546,23.0,1.0,23.0,1.0
5,True,90,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,21,22,24,22,22,23,22,03-04|05-06|07-08|09-10|11-12|13-14,23,21,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,44,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,21.0,1.0,22.0,1.0,24.0,1.0,22.0,1.0,23.0,0.9565217391304348,23.0,1.0,22.0,1.0
6,True,72,69,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,17,15,15,15,20,19,20,20,03-04|05-06|07-08|09-10|11-12|13-14,17,15,3,True,ELIGIBLE,15,15,3,True,ELIGIBLE,20,19,3,True,ELIGIBLE,20,20,3,True,ELIGIBLE,32,30,3,True,ELIGIBLE,40,39,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,22.0,0.7727272727272727,24.0,0.625,23.0,0.6521739130434783,21.0,0.7142857142857143,22.0,0.9090909090909091,22.0,0.8636363636363636,23.0,0.8695652173913043,23.0,0.8695652173913043
7,True,87,85,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,22,21,21,21,22,22,20,03-04|05-06|07-08|09-10|11-12|13-14,23,22,3,True,ELIGIBLE,21,21,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,22,20,3,True,ELIGIBLE,44,43,3,True,ELIGIBLE,43,42,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,23.0,0.9565217391304348,22.0,0.9545454545454546,22.0,0.9545454545454546,22.0,0.9545454545454546,22.0,1.0,23.0,0.9565217391304348,23.0,0.8695652173913043
8,True,86,88,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,22,22,23,21,22,21,21,03-04|05-06|07-08|09-10|11-12|13-14,22,22,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,21,21,3,True,ELIGIBLE,44,45,3,True,ELIGIBLE,42,43,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,22.0,1.0,23.0,0.9565217391304348,23.0,1.0,22.0,0.9545454545454546,23.0,0.9565217391304348,23.0,0.9130434782608695,22.0,0.9545454545454546
9,True,0,0,0,0,0,,,False,False,False,False,INSUFFICIENT_MATCHED_PAIRS|MISSING_UNILATERAL_PAIR|MISSING_BILATERAL_PAIR|INSUFFICIENT_ME_EPOCHS|INSUFFICIENT_MI_EPOCHS,fewer than two usable matched ME/MI pairs; no usable unilateral matched pair; no usable bilateral matched pair; fewer than required ME epochs after rejection; fewer than required MI epochs after rejection,0,0,0,0,0,0,0,0,,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.0,24.0,0.0,22.0,0.0,21.0,0.0,23.0,0.0,23.0,0.0,22.0,0.0,22.0,0.0
10,True,80,81,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,21,21,20,20,20,21,19,19,03-04|05-06|07-08|09-10|11-12|13-14,21,21,3,True,ELIGIBLE,20,20,3,True,ELIGIBLE,20,21,3,True,ELIGIBLE,19,19,3,True,ELIGIBLE,41,41,3,True,ELIGIBLE,39,40,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,24.0,0.875,24.0,0.875,21.0,0.9523809523809523,21.0,0.9523809523809523,23.0,0.8695652173913043,23.0,0.9130434782608695,22.0,0.8636363636363636,22.0,0.8636363636363636
