fold,role,subject
1,train,1
1,train,2
1,train,3
1,train,4
1,train,6
1,train,7
1,train,8
1,train,10
1,train,12
1,train,13
1,train,15
1,train,16
1,train,17
1,train,18
1,train,20
1,train,21
1,train,23
1,train,24
1,train,25
1,train,26
1,train,27
1,train,28
1,train,29
1,train,30
1,train,31
1,train,32
1,train,33
1,train,34
1,train,36
1,train,37
1,train,38
1,train,39
1,train,41
1,train,42
1,train,44
1,train,46
1,train,47
1,train,48
1,train,49
1,train,50
1,train,51
1,train,52
1,train,55
1,train,56
1,train,57
1,train,59
1,train,60
1,train,61
1,train,62
1,train,65
1,train,66
1,train,68
1,train,69
1,train,70
1,train,71
1,train,72
1,train,73
1,train,74
1,train,75
1,train,76
1,train,77
1,train,78
1,train,79
1,train,80
1,train,81
1,train,82
1,train,83
1,train,85
1,train,86
1,train,87
1,train,88
1,train,89
1,train,90
1,train,91
1,train,92
1,train,93
1,train,95
1,train,96
1,train,97
1,train,98
1,train,99
1,train,100
1,train,101
1,train,102
1,train,103
1,train,104
1,train,105
1,test,5
1,test,9
1,test,11
1,test,14
1,test,19
1,test,22
1,test,35
1,test,40
1,test,43
1,test,45
1,test,53
1,test,54
1,test,58
1,test,63
1,test,64
1,test,67
1,test,84
1,test,94
1,test,106
1,test,107
1,test,108
1,test,109
2,train,2
2,train,3
2,train,4
2,train,5
2,train,7
2,train,8
2,train,9
2,train,10
2,train,11
2,train,12
2,train,13
2,train,14
2,train,15
2,train,16
2,train,18
2,train,19
2,train,21
2,train,22
2,train,23
2,train,25
2,train,26
2,train,27
2,train,28
2,train,29
2,train,30
2,train,32
2,train,33
2,train,34
2,train,35
2,train,36
2,train,37
2,train,38
2,train,39
2,train,40
2,train,41
2,train,43
2,train,45
2,train,46
2,train,48
2,train,49
2,train,50
2,train,52
2,train,53
2,train,54
2,train,55
2,train,56
2,train,57
2,train,58
2,train,59
2,train,61
2,train,62
2,train,63
2,train,64
2,train,65
2,train,67
2,train,69
2,train,70
2,train,71
2,train,72
2,train,73
2,train,74
2,train,77
2,train,78
2,train,79
2,train,80
2,train,81
2,train,83
2,train,84
2,train,86
2,train,88
2,train,91
2,train,92
2,train,93
2,train,94
2,train,95
2,train,96
2,train,97
2,train,99
2,train,100
2,train,102
2,train,103
2,train,104
2,train,105
2,train,106
2,train,107
2,train,108
2,train,109
2,test,1
2,test,6
2,test,17
2,test,20
2,test,24
2,test,31
2,test,42
2,test,44
2,test,47
2,test,51
2,test,60
2,test,66
2,test,68
2,test,75
2,test,76
2,test,82
2,test,85
2,test,87
2,test,89
2,test,90
2,test,98
2,test,101
3,train,1
3,train,2
3,train,3
3,train,4
3,train,5
3,train,6
3,train,7
3,train,8
3,train,9
3,train,10
3,train,11
3,train,14
3,train,17
3,train,18
3,train,19
3,train,20
3,train,21
3,train,22
3,train,24
3,train,25
3,train,26
3,train,27
3,train,28
3,train,29
3,train,30
3,train,31
3,train,32
3,train,34
3,train,35
3,train,36
3,train,37
3,train,38
3,train,39
3,train,40
3,train,41
3,train,42
3,train,43
3,train,44
3,train,45
3,train,47
3,train,48
3,train,49
3,train,50
3,train,51
3,train,52
3,train,53
3,train,54
3,train,55
3,train,57
3,train,58
3,train,60
3,train,61
3,train,63
3,train,64
3,train,65
3,train,66
3,train,67
3,train,68
3,train,69
3,train,70
3,train,71
3,train,74
3,train,75
3,train,76
3,train,77
3,train,78
3,train,80
3,train,82
3,train,84
3,train,85
3,train,87
3,train,89
3,train,90
3,train,91
3,train,93
3,train,94
3,train,96
3,train,98
3,train,101
3,train,102
3,train,103
3,train,104
3,train,105
3,train,106
3,train,107
3,train,108
3,train,109
3,test,12
3,test,13
3,test,15
3,test,16
3,test,23
3,test,33
3,test,46
3,test,56
3,test,59
3,test,62
3,test,72
3,test,73
3,test,79
3,test,81
3,test,83
3,test,86
3,test,88
3,test,92
3,test,95
3,test,97
3,test,99
3,test,100
4,train,1
4,train,2
4,train,3
4,train,5
4,train,6
4,train,7
4,train,8
4,train,9
4,train,11
4,train,12
4,train,13
4,train,14
4,train,15
4,train,16
4,train,17
4,train,19
4,train,20
4,train,21
4,train,22
4,train,23
4,train,24
4,train,27
4,train,28
4,train,29
4,train,30
4,train,31
4,train,33
4,train,34
4,train,35
4,train,40
4,train,42
4,train,43
4,train,44
4,train,45
4,train,46
4,train,47
4,train,49
4,train,51
4,train,52
4,train,53
4,train,54
4,train,55
4,train,56
4,train,57
4,train,58
4,train,59
4,train,60
4,train,62
4,train,63
4,train,64
4,train,66
4,train,67
4,train,68
4,train,70
4,train,72
4,train,73
4,train,75
4,train,76
4,train,77
4,train,78
4,train,79
4,train,81
4,train,82
4,train,83
4,train,84
4,train,85
4,train,86
4,train,87
4,train,88
4,train,89
4,train,90
4,train,92
4,train,93
4,train,94
4,train,95
4,train,97
4,train,98
4,train,99
4,train,100
4,train,101
4,train,102
4,train,104
4,train,105
4,train,106
4,train,107
4,train,108
4,train,109
4,test,4
4,test,10
4,test,18
4,test,25
4,test,26
4,test,32
4,test,36
4,test,37
4,test,38
4,test,39
4,test,41
4,test,48
4,test,50
4,test,61
4,test,65
4,test,69
4,test,71
4,test,74
4,test,80
4,test,91
4,test,96
4,test,103
5,train,1
5,train,4
5,train,5
5,train,6
5,train,9
5,train,10
5,train,11
5,train,12
5,train,13
5,train,14
5,train,15
5,train,16
5,train,17
5,train,18
5,train,19
5,train,20
5,train,22
5,train,23
5,train,24
5,train,25
5,train,26
5,train,31
5,train,32
5,train,33
5,train,35
5,train,36
5,train,37
5,train,38
5,train,39
5,train,40
5,train,41
5,train,42
5,train,43
5,train,44
5,train,45
5,train,46
5,train,47
5,train,48
5,train,50
5,train,51
5,train,53
5,train,54
5,train,56
5,train,58
5,train,59
5,train,60
5,train,61
5,train,62
5,train,63
5,train,64
5,train,65
5,train,66
5,train,67
5,train,68
5,train,69
5,train,71
5,train,72
5,train,73
5,train,74
5,train,75
5,train,76
5,train,79
5,train,80
5,train,81
5,train,82
5,train,83
5,train,84
5,train,85
5,train,86
5,train,87
5,train,88
5,train,89
5,train,90
5,train,91
5,train,92
5,train,94
5,train,95
5,train,96
5,train,97
5,train,98
5,train,99
5,train,100
5,train,101
5,train,103
5,train,106
5,train,107
5,train,108
5,train,109
5,test,2
5,test,3
5,test,7
5,test,8
5,test,21
5,test,27
5,test,28
5,test,29
5,test,30
5,test,34
5,test,49
5,test,52
5,test,55
5,test,57
5,test,70
5,test,77
5,test,78
5,test,93
5,test,102
5,test,104
5,test,105
