experiment,model,balanced_accuracy,macro_f1,accuracy,mcc,sensitivity,specificity,roc_auc,average_precision,subject,n_epochs
E05_none,erd_lr,0.5611111111111111,0.5476955373898661,0.5611111111111111,0.13018891098082386,0.3888888888888889,0.7333333333333333,0.6020987654320986,0.6321722217421144,1,180
E05_none,erd_lr,0.6055555555555556,0.6045669729880256,0.6055555555555555,0.21217464988805587,0.6555555555555556,0.5555555555555556,0.6439506172839506,0.6580709727357826,2,180
E05_none,erd_lr,0.5888888888888889,0.5736781462040712,0.5888888888888889,0.19200614429492774,0.4,0.7777777777777778,0.5906172839506173,0.652538899359799,3,180
E05_none,erd_lr,0.7,0.6998517786561265,0.7,0.4003956479701162,0.7222222222222222,0.6777777777777778,0.791358024691358,0.7655951903902277,4,180
E05_none,erd_lr,0.7055555555555555,0.7006683191616203,0.7055555555555556,0.4252311794037786,0.8333333333333334,0.5777777777777777,0.8255555555555556,0.8281901066238445,5,180
E05_none,erd_lr,0.6055555555555556,0.6055433809685484,0.6055555555555555,0.21112414386792888,0.6111111111111112,0.6,0.6795061728395061,0.6900174862019565,6,180
E05_none,erd_lr,0.5444444444444444,0.5439377085650723,0.5444444444444444,0.0890870806374748,0.5777777777777777,0.5111111111111111,0.591358024691358,0.6135201919882783,7,180
E05_none,erd_lr,0.6055555555555555,0.6001126443255421,0.6055555555555555,0.21710387056050265,0.7222222222222222,0.4888888888888889,0.6620987654320987,0.6693669359112226,8,180
E05_none,erd_lr,0.7444444444444445,0.7405689936082216,0.7444444444444445,0.5041841733655161,0.6222222222222222,0.8666666666666667,0.8156790123456789,0.7913132981453105,9,180
E05_none,erd_lr,0.6055555555555555,0.602005543271776,0.6055555555555555,0.21498110065710155,0.5111111111111111,0.7,0.6307407407407408,0.6523370997316039,10,180
E05_none,erd_lr,0.5722222222222222,0.5699792125593373,0.5722222222222222,0.14597530030481035,0.5,0.6444444444444445,0.6,0.5738756908585332,11,180
E05_none,erd_lr,0.6166666666666667,0.6165601555987774,0.6166666666666667,0.23346307108777453,0.6,0.6333333333333333,0.647283950617284,0.5998541463629818,12,180
