fold,role,subject
1,train,1
1,train,5
1,train,6
1,train,7
1,train,8
1,train,10
1,train,11
1,train,12
1,train,15
1,train,18
1,train,20
1,train,21
1,train,25
1,train,26
1,train,29
1,train,30
1,train,31
1,train,33
1,train,35
1,train,36
1,train,37
1,train,38
1,train,39
1,train,40
1,train,41
1,train,42
1,train,45
1,train,49
1,train,51
1,train,52
1,train,54
1,train,55
1,train,57
1,train,59
1,train,62
1,train,63
1,train,64
1,train,65
1,train,67
1,train,68
1,train,69
1,train,70
1,train,71
1,train,72
1,train,73
1,train,74
1,train,76
1,train,78
1,train,81
1,train,82
1,train,84
1,train,85
1,train,86
1,train,87
1,train,88
1,train,89
1,train,93
1,train,97
1,train,98
1,train,101
1,train,102
1,train,105
1,test,14
1,test,16
1,test,28
1,test,34
1,test,43
1,test,47
1,test,50
1,test,66
1,test,77
1,test,79
1,test,80
1,test,90
1,test,92
1,test,94
1,test,104
1,test,109
2,train,1
2,train,5
2,train,6
2,train,7
2,train,8
2,train,11
2,train,12
2,train,14
2,train,15
2,train,16
2,train,26
2,train,28
2,train,29
2,train,31
2,train,33
2,train,34
2,train,37
2,train,38
2,train,39
2,train,40
2,train,41
2,train,42
2,train,43
2,train,45
2,train,47
2,train,49
2,train,50
2,train,51
2,train,52
2,train,54
2,train,55
2,train,59
2,train,62
2,train,66
2,train,67
2,train,68
2,train,69
2,train,70
2,train,71
2,train,72
2,train,73
2,train,74
2,train,76
2,train,77
2,train,78
2,train,79
2,train,80
2,train,82
2,train,84
2,train,85
2,train,86
2,train,88
2,train,90
2,train,92
2,train,93
2,train,94
2,train,97
2,train,98
2,train,101
2,train,104
2,train,105
2,train,109
2,test,10
2,test,18
2,test,20
2,test,21
2,test,25
2,test,30
2,test,35
2,test,36
2,test,57
2,test,63
2,test,64
2,test,65
2,test,81
2,test,87
2,test,89
2,test,102
3,train,5
3,train,6
3,train,8
3,train,10
3,train,11
3,train,12
3,train,14
3,train,15
3,train,16
3,train,18
3,train,20
3,train,21
3,train,25
3,train,26
3,train,28
3,train,29
3,train,30
3,train,33
3,train,34
3,train,35
3,train,36
3,train,38
3,train,39
3,train,40
3,train,41
3,train,42
3,train,43
3,train,47
3,train,49
3,train,50
3,train,55
3,train,57
3,train,63
3,train,64
3,train,65
3,train,66
3,train,68
3,train,69
3,train,72
3,train,73
3,train,76
3,train,77
3,train,78
3,train,79
3,train,80
3,train,81
3,train,82
3,train,85
3,train,86
3,train,87
3,train,88
3,train,89
3,train,90
3,train,92
3,train,93
3,train,94
3,train,97
3,train,98
3,train,101
3,train,102
3,train,104
3,train,109
3,test,1
3,test,7
3,test,31
3,test,37
3,test,45
3,test,51
3,test,52
3,test,54
3,test,59
3,test,62
3,test,67
3,test,70
3,test,71
3,test,74
3,test,84
3,test,105
4,train,1
4,train,5
4,train,6
4,train,7
4,train,10
4,train,11
4,train,12
4,train,14
4,train,16
4,train,18
4,train,20
4,train,21
4,train,25
4,train,28
4,train,30
4,train,31
4,train,34
4,train,35
4,train,36
4,train,37
4,train,39
4,train,40
4,train,41
4,train,42
4,train,43
4,train,45
4,train,47
4,train,50
4,train,51
4,train,52
4,train,54
4,train,57
4,train,59
4,train,62
4,train,63
4,train,64
4,train,65
4,train,66
4,train,67
4,train,68
4,train,70
4,train,71
4,train,72
4,train,74
4,train,76
4,train,77
4,train,78
4,train,79
4,train,80
4,train,81
4,train,84
4,train,87
4,train,88
4,train,89
4,train,90
4,train,92
4,train,93
4,train,94
4,train,98
4,train,102
4,train,104
4,train,105
4,train,109
4,test,8
4,test,15
4,test,26
4,test,29
4,test,33
4,test,38
4,test,49
4,test,55
4,test,69
4,test,73
4,test,82
4,test,85
4,test,86
4,test,97
4,test,101
5,train,1
5,train,7
5,train,8
5,train,10
5,train,14
5,train,15
5,train,16
5,train,18
5,train,20
5,train,21
5,train,25
5,train,26
5,train,28
5,train,29
5,train,30
5,train,31
5,train,33
5,train,34
5,train,35
5,train,36
5,train,37
5,train,38
5,train,43
5,train,45
5,train,47
5,train,49
5,train,50
5,train,51
5,train,52
5,train,54
5,train,55
5,train,57
5,train,59
5,train,62
5,train,63
5,train,64
5,train,65
5,train,66
5,train,67
5,train,69
5,train,70
5,train,71
5,train,73
5,train,74
5,train,77
5,train,79
5,train,80
5,train,81
5,train,82
5,train,84
5,train,85
5,train,86
5,train,87
5,train,89
5,train,90
5,train,92
5,train,94
5,train,97
5,train,101
5,train,102
5,train,104
5,train,105
5,train,109
5,test,5
5,test,6
5,test,11
5,test,12
5,test,39
5,test,40
5,test,41
5,test,42
5,test,68
5,test,72
5,test,76
5,test,78
5,test,88
5,test,93
5,test,98
