experiment,model,balanced_accuracy,macro_f1,accuracy,mcc,sensitivity,specificity,roc_auc,average_precision,subject,n_epochs
E05_spatial_control,erd_lr,0.5232267732267732,0.5180672268907562,0.5225806451612903,0.04741046559307605,0.4230769230769231,0.6233766233766234,0.545954045954046,0.5569264575846772,1,155
E05_spatial_control,erd_lr,0.5824894514767932,0.5825098814229248,0.5857988165680473,0.1656794534634188,0.5316455696202531,0.6333333333333333,0.6243319268635724,0.5718625964018904,5,169
E05_spatial_control,erd_lr,0.5741185897435898,0.5733129615482557,0.5845070422535211,0.15140961681083237,0.6794871794871795,0.46875,0.5843349358974359,0.605716155958226,6,142
E05_spatial_control,erd_lr,0.6161909009812667,0.6130952380952381,0.6148148148148148,0.23053828565169024,0.6052631578947368,0.6271186440677966,0.6688224799286352,0.737269068376598,7,135
E05_spatial_control,erd_lr,0.4965667915106118,0.4901898734177216,0.4972067039106145,-0.007053839009627521,0.38202247191011235,0.6111111111111112,0.5222222222222221,0.5064477858200478,8,179
E05_spatial_control,erd_lr,0.5244725738396625,0.5235431235431236,0.525974025974026,0.04926632172239037,0.4666666666666667,0.5822784810126582,0.5741772151898734,0.5516658093272624,10,154
E05_spatial_control,erd_lr,0.5944444444444444,0.5888482117713321,0.5944444444444444,0.19425083155413395,0.7111111111111111,0.4777777777777778,0.6041975308641976,0.5744058679936475,11,180
E05_spatial_control,erd_lr,0.5449735449735449,0.5442307692307693,0.5443037974683544,0.09003374419642282,0.5714285714285714,0.5185185185185185,0.5807279140612474,0.5483778051554171,12,158
E05_spatial_control,erd_lr,0.5976279650436953,0.5974512743628186,0.5977653631284916,0.19550015273455398,0.5730337078651685,0.6222222222222222,0.6295880149812734,0.6149020246282997,14,179
E05_spatial_control,erd_lr,0.5891996142719382,0.5774888812863497,0.5894736842105263,0.17127977705267852,0.5882352941176471,0.5901639344262295,0.6133076181292189,0.44931482463336303,15,95
E05_spatial_control,erd_lr,0.5869256948383437,0.5839643972293005,0.5892857142857143,0.17747460985320543,0.686046511627907,0.4878048780487805,0.6134429948950653,0.6263898937197501,16,168
E05_spatial_control,erd_lr,0.6833333333333333,0.6789636722050126,0.6833333333333333,0.37707514360508354,0.5666666666666667,0.8,0.7366666666666667,0.7227595887366165,18,180
E05_spatial_control,erd_lr,0.5333333333333333,0.533275713050994,0.5333333333333333,0.06668313367115805,0.5444444444444444,0.5222222222222223,0.5577777777777777,0.5931776921118941,20,180
E05_spatial_control,erd_lr,0.5850129198966408,0.5566448801742919,0.5795454545454546,0.19343489271688916,0.34444444444444444,0.8255813953488372,0.6776485788113695,0.6736054882845028,21,176
E05_spatial_control,erd_lr,0.5333333333333333,0.5286195286195287,0.5333333333333333,0.06804138174397717,0.43333333333333335,0.6333333333333333,0.528888888888889,0.587790371798655,25,180
E05_spatial_control,erd_lr,0.6611111111111111,0.6593341813781763,0.6611111111111111,0.3256372083722692,0.7333333333333333,0.5888888888888889,0.7433333333333334,0.7416869840844644,26,180
E05_spatial_control,erd_lr,0.5833333333333333,0.518140589569161,0.5294117647058824,0.18931004635463394,0.8529411764705882,0.3137254901960784,0.6372549019607843,0.5727784412203876,28,85
E05_spatial_control,erd_lr,0.5534136546184738,0.5419453734671126,0.5606936416184971,0.11460940082172848,0.7333333333333333,0.37349397590361444,0.593574297188755,0.6056347739380976,29,173
E05_spatial_control,erd_lr,0.5222222222222221,0.5193143708856043,0.5222222222222223,0.04499212706658475,0.4444444444444444,0.6,0.5675308641975308,0.5802066806295936,30,180
E05_spatial_control,erd_lr,0.5555555555555556,0.5553359683794465,0.5555555555555556,0.11122101332503227,0.5777777777777777,0.5333333333333333,0.5712345679012345,0.5676847230187324,31,180
E05_spatial_control,erd_lr,0.5842696629213483,0.5837967644084934,0.5842696629213483,0.16892363187310339,0.6179775280898876,0.550561797752809,0.6524428733745739,0.6540717677803437,33,178
E05_spatial_control,erd_lr,0.5555555555555556,0.5555006790961847,0.5555555555555556,0.11113855611859676,0.5444444444444444,0.5666666666666667,0.6230864197530864,0.620744341029224,34,180
E05_spatial_control,erd_lr,0.5177506775067751,0.5172950126796281,0.5174418604651163,0.03546533130562865,0.524390243902439,0.5111111111111111,0.524119241192412,0.5418091102861253,35,172
E05_spatial_control,erd_lr,0.5848817567567568,0.5793567374395627,0.5797101449275363,0.17077617234117015,0.65625,0.5135135135135135,0.6345016891891891,0.643405277836443,36,138
E05_spatial_control,erd_lr,0.7666666666666666,0.7636306334699023,0.7666666666666667,0.5475856781933934,0.88,0.6533333333333333,0.872,0.8610623340599963,37,150
E05_spatial_control,erd_lr,0.5546027742749055,0.5545454545454546,0.5555555555555556,0.1093711789006265,0.5245901639344263,0.5846153846153846,0.6060529634300125,0.571441633204103,38,126
E05_spatial_control,erd_lr,0.6082949308755761,0.6060606060606061,0.6060606060606061,0.21658986175115208,0.5714285714285714,0.6451612903225806,0.6248847926267281,0.6658253076377117,39,66
E05_spatial_control,erd_lr,0.6129445449065702,0.612972524780462,0.6134969325153374,0.22599127895648707,0.6309523809523809,0.5949367088607594,0.6431585292344787,0.6681683201049556,40,163
E05_spatial_control,erd_lr,0.6333333333333333,0.6316964285714286,0.6333333333333333,0.269069117598525,0.5666666666666667,0.7,0.68679012345679,0.6494362928465168,41,180
E05_spatial_control,erd_lr,0.5833333333333333,0.5649511778544036,0.5833333333333334,0.18283168583540635,0.7888888888888889,0.37777777777777777,0.6109876543209876,0.5958427256402277,42,180
E05_spatial_control,erd_lr,0.6098484848484849,0.5763119884448724,0.5875,0.24149064389042033,0.8333333333333334,0.38636363636363635,0.6218434343434343,0.5640932704204562,43,80
E05_spatial_control,erd_lr,0.6215384615384616,0.6221839799749687,0.6347826086956522,0.24793046686338058,0.7230769230769231,0.52,0.6323076923076922,0.6752139016637668,45,115
E05_spatial_control,erd_lr,0.5944444444444444,0.5942327161098593,0.5942857142857143,0.18881485835934,0.5888888888888889,0.6,0.6028758169934642,0.5914277806677078,47,175
E05_spatial_control,erd_lr,0.6162280701754386,0.6030651340996169,0.6216216216216216,0.2541973736054008,0.8157894736842105,0.4166666666666667,0.7178362573099415,0.7108907533101836,49,74
E05_spatial_control,erd_lr,0.6425457102672293,0.6390026963616626,0.6390532544378699,0.2856141187332721,0.5888888888888889,0.6962025316455697,0.6773558368495078,0.7052403747630543,50,169
E05_spatial_control,erd_lr,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.28888888888888886,0.6444444444444445,0.6444444444444445,0.6809876543209876,0.6545859387094811,51,180
E05_spatial_control,erd_lr,0.640990990990991,0.6397849462365591,0.6417910447761194,0.2807203113044961,0.6486486486486487,0.6333333333333333,0.7027027027027026,0.789482210226794,52,67
E05_spatial_control,erd_lr,0.5990740740740741,0.5987077420099227,0.6063829787234043,0.19755454710793743,0.55,0.6481481481481481,0.6416666666666667,0.6258643400851389,54,94
E05_spatial_control,erd_lr,0.5944444444444444,0.5674074074074074,0.5944444444444444,0.2181101016938586,0.8444444444444444,0.34444444444444444,0.6769135802469137,0.6615399425370394,55,180
E05_spatial_control,erd_lr,0.630718954248366,0.611831862999481,0.6136363636363636,0.2556549962824568,0.5555555555555556,0.7058823529411765,0.7320261437908496,0.8044156504287212,57,88
E05_spatial_control,erd_lr,0.6047856253335706,0.6036899377546907,0.6066666666666667,0.21178699349000554,0.5342465753424658,0.6753246753246753,0.6196406333392634,0.5839878180751332,59,150
E05_spatial_control,erd_lr,0.46475387907972177,0.4586394557823129,0.4682080924855491,-0.0725290705787042,0.5842696629213483,0.34523809523809523,0.47324772605671483,0.4986405658667563,62,173
E05_spatial_control,erd_lr,0.5735867446393762,0.5697319587628866,0.5765765765765766,0.15099939600362397,0.6842105263157895,0.46296296296296297,0.6026640675763482,0.5997230835691728,63,111
E05_spatial_control,erd_lr,0.6,0.5995550611790879,0.6,0.2004459314343183,0.6333333333333333,0.5666666666666667,0.6397530864197531,0.6405927155783124,64,180
E05_spatial_control,erd_lr,0.529795821462488,0.5294811320754718,0.5488721804511278,0.05921327946198783,0.4423076923076923,0.6172839506172839,0.5864197530864198,0.4591659760490475,65,133
E05_spatial_control,erd_lr,0.5886623416743899,0.5759326964657783,0.5838509316770186,0.18606593835442892,0.43373493975903615,0.7435897435897436,0.6400988569663268,0.6251076262449841,66,161
E05_spatial_control,erd_lr,0.5303683385579938,0.5141522210184182,0.5314285714285715,0.06541540322146144,0.3448275862068966,0.7159090909090909,0.47048066875653083,0.5243548320209646,67,175
E05_spatial_control,erd_lr,0.5364130434782608,0.4851551956815115,0.48623853211009177,0.07517815000856805,0.725,0.34782608695652173,0.5981884057971014,0.5057953127466761,68,109
E05_spatial_control,erd_lr,0.5375,0.5373935579415032,0.5374149659863946,0.07498611496794544,0.5333333333333333,0.5416666666666666,0.5650000000000001,0.577998552227382,69,147
E05_spatial_control,erd_lr,0.5439841558012873,0.5372445616348056,0.5384615384615384,0.08903266193740686,0.4578313253012048,0.6301369863013698,0.5642845354018815,0.5925700854326352,70,156
E05_spatial_control,erd_lr,0.5954664341761116,0.5878787878787879,0.5882352941176471,0.19227866734080568,0.5135135135135135,0.6774193548387096,0.5987358326068003,0.6273536661942576,71,136
E05_spatial_control,erd_lr,0.6084893882646691,0.6061729947196379,0.6089385474860335,0.219880245264177,0.6888888888888889,0.5280898876404494,0.6478152309612983,0.6248296602015111,72,179
E05_spatial_control,erd_lr,0.4796747967479674,0.4649321266968326,0.4883720930232558,-0.043747696471003704,0.6666666666666666,0.2926829268292683,0.5046070460704607,0.5392369603220548,73,172
