run,condition,task_family,repetition,n_epochs,precue_mu_mean,precue_beta_mean,ptp_mean
3,execution,unilateral,1,1427,3.514298599113181e-11,4.9100538079308537e-11,83.72022929468233
4,imagery,unilateral,1,1447,3.849494020096611e-11,4.547245580178131e-11,85.38338444595213
5,execution,bilateral,1,1416,3.714242548527821e-11,5.196170905177064e-11,85.14241753001073
6,imagery,bilateral,1,1427,4.0498940437907146e-11,4.946168888326014e-11,87.711323942463
7,execution,unilateral,2,1435,4.2881882058528895e-11,5.456548289652247e-11,88.45664744541877
8,imagery,unilateral,2,1389,4.1187951141790746e-11,4.8895769741429307e-11,89.56309300443736
9,execution,bilateral,2,1403,4.267187139225681e-11,5.446942932020884e-11,91.20356589186412
10,imagery,bilateral,2,1421,4.341961839439972e-11,5.182923647942383e-11,91.81270179520746
11,execution,unilateral,3,1388,4.154476622262505e-11,5.0259022357069656e-11,86.65329297261003
12,imagery,unilateral,3,1397,4.411232880097755e-11,4.9872278531657015e-11,90.99235942628826
13,execution,bilateral,3,1369,4.473849152183413e-11,5.10172808311198e-11,90.20810942672222
14,imagery,bilateral,3,1394,4.516027841934255e-11,4.720274167586848e-11,90.90428946687504
